input	output	name	C0	C1	C3	Fe1	Fe2	S0	S1	S2	S3	Anode
Ammonia	Nitrate	Prosthecobacter	0.476011966	0	0.990260859	0	0.332973572	0	0	0	0	0
Ammonia	"Nitrite, nitrate"	Leptolinea	0	0	0	0	0	0.490567536	1.101762602	1.838523337	2.026113202	1.274163858
"Ammonium, nitrate, organic matter"	"Nitrite, nitrate, N2O, CO2, CH4, H2, NH3"	Comamonadaceae	0	0	0	0	0	1.521495143	0	0	0	0
"Ammonium, nitrate, organic matter"	"Nitrite, nitrate, N2O, CO2, CH4, H2, NH3"	Comamonadaceae	0	0.590873912	0.696680169	0	0.177075989	0	0	0	0	0
"Ammonium, nitrate, organic matter"	"Nitrite, nitrate, N2O, CO2, CH4, H2, NH3"	Comamonadaceae	0	0	0	0	0	0	0.230434412	0.274302214	0	0.64950791
Aromatic compounds	"CO2, H2O"	Blastomonas	0	0.447167901	0.247653558	0.318311565	0.83228205	0	0	0	0	0
Aromatic compounds	"CO2, H2O"	Brachymonas	0	0	0.846914864	0	0	0	0	0	0	0
Aromatic compounds	"CO2, H2O"	C1-B045	0	0.512972065	0.913862527	0.639756494	0.390986371	0	0	0	0	0
Aromatic compounds	"CO2, H2O"	C1-B045	0	0	0	0	0	0.839395718	0.153622941	0.120942951	0	0.187750334
Aromatic compounds	"CO2, H2O"	Candidatus_Berkiella	1.74940998	0	0	0	0	1.076517259	0	0.024326165	0	0
Aromatic compounds	"CO2, H2O"	Chelatococcus	0	0.382179483	0.658701862	0	0	0	0	0	0	0
Aromatic compounds	"CO2, H2O, biomass"	Devosia	3.552947573	0	0	0	0	0	0	0	0	0
Aromatic compounds	"CO2, H2O, organic acids"	Thermomonas	2.77045268	0	0	0	0	1.292535828	0.170692157	0.755007842	0.520682113	0.640891325
Aromatic compounds	"CO2, H2O, organic acids"	Sphingosinicella	0	0	0	0.759679491	0.811711162	0	0.585863216	0.338396859	0.448874283	0.059681132
Aromatic Compounds		R7C28	0	0	0.016957775	0	0	0.4623835	1.130740359	1.470247203	1.128116917	0.244438445
"Aromatic compounds, heavy metals"	"CO2, H2O, biomass, reduced metals"	Cupriavidus	2.38191771	0	0	0	0	0.054449284	0	0	0	0
Aromatic hydrocarbon	"CO2, H2O"	Geothrix	0	0	0	0	0	5.358623592	0.11948451	0.053517563	0.179946063	0.1439421
Atmospheric nitrogen	Ammonia	Pajaroellobacter	0.816929265	0	0	0	0	0.042781581	0	0	0	0
Atmospheric nitrogen	Ammonia	Niveispirillum	0.532004155	0	0	0	0	0	0	0	0	0
Atmospheric nitrogen	Ammonia	Pedomicrobium	0	2.41359084	0.69623845	1.517623703	2.694438271	0	0	0	0	0
Atmospheric nitrogen	Ammonia	Pedomicrobium	0	0	0	1.680065014	2.425965954	0	0	0	0	0
